COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
AUS,Australia,1683.55,53946.26631,322108.1,1312200000000.0,0.0,0.0,3.100112596,0.9,2015
AUT,Austria,1500.0,50373.81106,171362.00000000003,413555000000.0,30.5,0.0,104.73079270000001,0.9,2015
BEL,Belgium,1545.0,52120.10915,226377.6,509186000000.0,27.7,0.0,372.33143989999996,0.9,2015
CAN,Canada,1712.0,48979.30251,532929.4999999999,1802510000000.0,0.0,0.0,3.940449068,1.1,2015
CHE,Switzerland,1589.5,64222.839420000004,139679.3,634045000000.0,32.3,0.0,209.59600659999998,0.7,2015
CHL,Chile,1988.0,26759.21876,210741.00000000003,264555000000.0,47.7,96.87413025,23.88959756,1.5,2015
CZE,Czech Republic,1756.0,23962.81256,228471.2,225493000000.0,25.9,0.0,136.58928899999998,0.9,2015
DEU,Germany,1369.8,48034.59454,1856242.0999999999,3718480000000.0,31.7,0.0,234.15366859999997,0.8,2015
DNK,Denmark,1407.0,54196.8862,109631.9,343294000000.0,28.2,0.0,135.3532508,0.6,2015
ESP,Spain,1699.6,40087.62768,849930.3,1420990000000.0,36.2,98.14325714,92.95268301,0.8,2015
EST,Estonia,1788.0,23436.37665,36934.2,23378735867.0,32.7,0.0,30.26011042,1.3,2015
FIN,Finland,1563.0,43617.28448,109739.5,248312000000.0,27.1,0.0,18.03011089,0.8,2015
FRA,France,1519.0,43731.65687,1164506.7999999998,2781290000000.0,32.7,0.0,121.61905870000001,0.8,2015
GBR,United Kingdom,1531.0,44125.736189999996,1210706.8,2719580000000.0,33.2,0.0,269.20539410000003,0.8,2015
GRC,Greece,1943.0,26585.0661,248695.0,244719000000.0,36.0,0.0,83.94788984,1.0,2015
HUN,Hungary,1748.7,20150.148240000002,271023.6,144236000000.0,30.4,0.0,108.7266983,1.1,2015
IRL,Ireland,1741.0,47244.93408,64515.49999999999,318413000000.0,31.8,0.0,68.25311366,0.8,2015
ISL,Iceland,1504.0,53261.71745,8458.4,15682299357.0,0.0,0.0,3.299900249,0.8,2015
ISR,Israel,1895.41,34481.718069999995,92236.29999999999,278049000000.0,0.0,0.0,387.25046210000005,1.0,2015
ITA,Italy,1718.0,37793.07676,1297397.6,2062370000000.0,35.4,0.0,206.4682872,0.8,2015
JPN,Japan,1719.0,39591.57293,2585715.5,5996410000000.0,0.0,0.0,348.7519201,0.8,2015
LTU,Lithuania,1622.0,22741.69964,91558.2,44681433749.0,37.4,0.0,46.36727853,1.7,2015
LUX,Luxembourg,1514.0,64551.54632,11955.2,61081638753.0,33.8,0.0,234.4049383,0.5,2015
LVA,Latvia,1708.0,22295.314730000002,64266.6,28247565849.0,34.2,0.0,31.80326472,1.6,2015
MEX,Mexico,2140.0,16231.22549,1285798.3,1223120000000.0,0.0,94.47228241,64.76038427,2.6,2015
NLD,Netherlands,1426.0,54892.58871,299182.3999999999,878701000000.0,28.2,0.0,502.8175423,0.8,2015
NOR,Norway,1423.9,50994.10315,85892.40000000001,467661000000.0,27.5,0.0,14.21057257,0.7,2015
POL,Poland,1834.0,24726.12542,796000.1,556287000000.0,31.8,0.0,124.0615696,1.1,2015
PRT,Portugal,1722.0,25307.314619999997,223374.40000000002,228052000000.0,35.5,0.0,113.0725249,0.9,2015
SVN,Slovenia,1687.8,34933.647730000004,44984.299999999996,48969999339.0,25.4,0.0,102.44610870000001,0.8,2015
SWE,Sweden,1471.0,43159.39234,187002.50000000003,543061000000.0,29.2,0.0,24.05829958,0.8,2015
USA,United States,1785.0,62106.295229999996,5430335.0,16710500000000.0,0.0,0.0,35.06373087,1.3,2015
